bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
5415,476,20,6338,552,56,1874,8538,347,375,324,1753,1660,308,147,558,1502,210,335,1351,58,16,330,350,257,292,480,21153,5541,820,1222,6695,349,1081,36,681,250,16,315,141,7216,491,3535,16100,6826,15159,6903,1516,955,6454,783,3836,10603,14002,2117,15828,620,2235,4518,5912,1196,1874,523,1320,934,6916,4729,6756,16305,101,34560,7326
5412OP,3071,358,4731,1788,1360,16488,90803,2477,3312,3966,6390,4351,7505,2238,5619,3545,2139,3657,14644,647,188,3187,1588,875,8867,5336,167918,39940,11666,4776,98909,2347,2275,2228,5219,3969,3524,2724,3553,32032,7920,41049,89142,61460,64250,47252,4606,3880,84749,21044,12650,40924,179419,55705,63144,3896,14185,38476,53133,10440,9269,12371,13837,8215,38960,50696,90532,15132,1825,106495,39495
55,0,0,35072,7803,3585,96,24545,542,2854,1561,4982,11332,5185,3069,11084,4336,523,3865,30698,935,495,2550,566,2081,14025,2184,146052,3566,6178,12680,37879,4371,13,1671,4850,568,4,7259,1706,6270,597,5297,5805,7930,23544,6709,2711,149,59898,23936,4195,5348,21800,36,23239,5878,10827,61449,13636,7609,2491,3300,3828,21957,80253,13004,0,0,146,0,0
561,475,21,461,468,968,7387,11554,947,1329,3953,9076,1887,2633,629,2972,4452,335,1528,3624,145,531,1390,2581,593,4025,1691,73491,8066,2632,3507,22123,6358,1039,8322,9293,16555,3325,10265,5365,25604,1851,27954,41707,22465,20168,13834,212,3020,234037,48249,9863,37372,69010,18456,75846,5427,8901,36382,64266,13640,4350,6587,4549,5867,15295,19814,7683,13594,550,54572,12394
562,169,1,569,92,75,538,2848,140,268,305,346,207,67,82,171,124,88,91,1364,42,4,291,85,134,1305,272,2357,971,309,147,994,116,163,6,771,84,279,191,204,57,57,94,138,457,206,1516,375,3,67455,1369,326,352,2053,607,3467,14339,407,2149,2365,912,512,182,717,960,2406,1657,157,844,215,30798,6349
61,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1742,304,547,0,2514,129,1,0,0,0,0,0,0,0,0,4,0,35,14,0,0,0,0,0,0,0,0,0,332,0,2682,0,6,0,0,6155,939,0,0,4596,0,41,156,13575,11
621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,108,0,0,19823,18964,147,1,209,7,0,0,84,0,2395,0,21850,0
622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5220,0,2793,0
624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
711AS,133,0,1,0,22,110,439,57,59,87,104,61,5,8,49,13,21,28,177,5,1,78,46,21,37,132,6150,901,539,101,1297,0,153,0,87,65,0,361,10,253,13058,33780,840,3583,1450,328,600,1,10031,666,828,1710,7621,5667,3199,200,1885,2230,2770,428,1788,40302,1617,474,6635,3193,0,44,36,3301,92
713,135,1,0,2,47,206,969,52,83,54,99,53,6,5,45,13,26,29,123,1,0,52,41,10,40,85,3007,56,181,7,1503,1,1,0,0,0,0,51,4,146,64,184,953,2105,1244,179,179,1,0,650,457,1764,2279,3004,2188,183,305,2432,90,212,415,243,418,488,2461,333,2941,34,4,5376,162
721,2,0,2,10,148,974,757,166,231,192,346,201,23,38,223,44,87,109,428,12,2,181,188,36,154,318,4890,67,78,47,372,0,17,0,0,0,18,431,16,567,300,719,3718,8184,4867,634,677,6,19164,2851,1380,6998,8118,1195,6102,835,1278,6206,365,481,637,204,489,768,5026,1065,5309,2763,46,5804,362
722,547,9,24,38,321,2061,958,248,299,296,429,265,27,75,262,69,100,131,690,33,9,286,184,82,193,416,12087,1561,1022,981,5302,11824,4,26,991,354,106,2271,321,521,388,700,3346,12720,5029,3254,1683,5,59181,7891,2634,9510,21142,6336,13557,798,2345,40240,29971,11963,5657,809,2759,12290,13186,2748,1996,907,349,29281,1156
81,399,54,129,134,255,899,12179,545,1388,1648,1912,910,457,298,938,492,175,402,2807,104,10,1368,358,439,2051,1076,25577,3609,2580,1927,8092,623,109,710,9392,4878,775,2369,946,1724,245,5470,2759,6825,7039,5260,329,25628,7639,11873,1101,2870,12456,7744,21888,6812,4124,7715,15096,2004,1277,1430,2517,2041,14273,9802,6009,16600,578,58467,6450
GFGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFE,10,2,0,4,0,237,12,0,0,38,115,193,34,134,0,0,0,11,0,1,0,0,44,13,39,0,22018,1228,620,263,5909,3,0,2632,1971,588,163,969,578,256,237,153,1626,1276,3117,102,0,0,815,2770,281,548,2230,242,1200,161,522,1562,3947,328,569,211,172,815,9865,597,1,149,93,2925,150
GSLG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSLE,0,1,0,0,0,732,0,83,224,257,294,204,51,66,162,119,54,85,1267,45,1,254,68,121,1254,211,1760,694,302,125,857,6,0,0,422,10,136,78,176,73,78,100,190,586,351,83,0,0,4269,2556,536,305,1456,527,1882,1205,272,1172,1171,707,319,185,374,910,2203,1617,1920,641,198,9506,3193
Used,-18,245,0,0,1502,9100,3851,0,131,43169,649,6,0,0,0,0,0,1,-1,22,0,2010,0,0,46,54,0,2,0,0,292,-106,0,-183,1118,10,100,4590,0,0,1,0,0,0,0,0,0,0,0,39,0,0,0,77,0,0,1556,0,0,0,0,-155,457,0,0,55734,-60,0,0,0,0
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
