hts10,cty_code,usmca_share
0302210020,1220,0.6138320703
0302210020,2010,0.3171989597
0302210090,1220,1
0302210090,2010,0
0302220000,1220,0
0302220000,2010,0
0302230000,1220,1
0302230000,2010,1
0302240000,1220,0
0302240000,2010,0
0302290110,1220,0.6545774832
0302290110,2010,0.7060028314
0302290190,1220,0.2850877193
0302290190,2010,0.1390774526
0302310000,1220,0.653402532
0302310000,2010,0
0302320000,1220,0.784963004
0302320000,2010,0.5711709421
0302330000,1220,0
0302330000,2010,0
0302340000,1220,0.6149326126
0302340000,2010,0
0302350100,1220,0.9420957208
0302350100,2010,0.5509172217
0302360000,1220,0
0302360000,2010,0
0302390200,1220,0
0302390200,2010,0
0302410000,1220,1
0302410000,2010,0
0302420000,1220,0.7091492279
0302420000,2010,0
0302430000,1220,1
0302430000,2010,0
0302440000,1220,0
0302440000,2010,0
0302451100,1220,0
0302451100,2010,1
0302455000,1220,0
0302455000,2010,0.5011038713
0302461100,1220,0
0302461100,2010,1
0302465000,1220,0
0302465000,2010,0.474423163
0302470010,1220,0
0302470010,2010,0
0302470090,1220,0.8722227096
0302470090,2010,0.633030104
0302490000,1220,0
0302490000,2010,0.2526634698
0302510010,1220,0.8075034366
0302510010,2010,0
0302510090,1220,1
0302510090,2010,0
0302520000,1220,0.5773622186
0302520000,2010,0
0302530000,1220,0
0302530000,2010,0
0302541100,1220,0
0302541100,2010,0
0302545000,1220,0.05675450782
0302545000,2010,1
0302551100,1220,0
0302551100,2010,0
0302555000,1220,0
0302555000,2010,0
0302561100,1220,0
0302561100,2010,0
0302565000,1220,0
0302565000,2010,0
0302591100,1220,0
0302591100,2010,0
0302595010,1220,0.2952867001
0302595010,2010,0
0302595090,1220,1
0302595090,2010,0
0302692050,1220,0
0302692050,2010,0
0302711100,1220,0
0302711100,2010,0
0302715000,1220,0
0302715000,2010,0
0302721100,1220,0
0302721100,2010,0
0302725001,1220,0
0302725001,2010,0
0302725004,1220,0
0302725004,2010,0
0302725034,1220,0
0302725034,2010,0
0302731100,1220,0
0302731100,2010,0
0302735000,1220,0
0302735000,2010,0
0302740000,1220,0
0302740000,2010,0
0302791100,1220,0
0302791100,2010,0
0302795025,1220,0
0302795025,2010,0
0302795076,1220,0
0302795076,2010,0
0302810011,1220,0
0302810011,2010,0
0302810091,1220,0
0302810091,2010,0
0302820000,1220,0.01884649326
0302820000,2010,0
0302830000,1220,0
0302830000,2010,0
0302841100,1220,0
0302841100,2010,0
0302845000,1220,0
0302845000,2010,0.7041900458
0302851100,1220,0
0302851100,2010,0
0302855000,1220,0
0302855000,2010,0
0302891120,1220,0
0302891120,2010,1
0302891140,1220,0
0302891140,2010,0
0302895007,1220,0
0302895007,2010,0
0302895010,1220,0.2574932898
0302895010,2010,0
0302895013,1220,0.3991752369
0302895013,2010,0
0302895025,1220,0.4332372501
0302895025,2010,0
0302895028,1220,0.2785087536
0302895028,2010,0.4141509687
0302895031,1220,0.4522031129
0302895031,2010,0
0302895034,1220,0.1155568459
0302895034,2010,0
0302895037,1220,0.5413899861
0302895037,2010,0
0302895040,1220,1
0302895040,2010,0
0302895049,1220,0
0302895049,2010,0
0302895052,1220,0.6946649633
0302895052,2010,0.2887518873
0302895055,1220,0.4256054688
0302895055,2010,0
0302895058,1220,0
0302895058,2010,0.5020791033
0302895061,1220,0
0302895061,2010,0.5046960213
0302895064,1220,0.6179934753
0302895064,2010,0
0302895067,1220,0.4531919529
0302895067,2010,0
0302895070,1220,0
0302895070,2010,0
0302895072,1220,0
0302895072,2010,0
0302895077,1220,0.538987238
0302895077,2010,0.5026561912
0302912000,1220,0
0302912000,2010,0
0302914010,1220,0
0302914010,2010,0
0302914090,1220,1
0302914090,2010,0
0302920000,1220,0
0302920000,2010,0
0302990000,1220,0
0302990000,2010,0.1951183541
0303110000,1220,0.4440239113
0303110000,2010,0
0303120012,1220,0.7099077699
0303120012,2010,0
0303120022,1220,0.8213818107
0303120022,2010,0
0303120032,1220,0.8274668021
0303120032,2010,0
0303120052,1220,0.4224326925
0303120052,2010,0
0303120062,1220,0.9832784368
0303120062,2010,0
0303130000,1220,0.6493042679
0303130000,2010,0
0303140000,1220,0.1193024054
0303140000,2010,0
0303190100,1220,0.07234622838
0303190100,2010,0
0303230000,1220,0
0303230000,2010,1
0303240010,1220,0
0303240010,2010,0
0303240020,1220,0
0303240020,2010,0
0303240050,1220,0
0303240050,2010,0
0303250100,1220,0
0303250100,2010,0
0303260000,1220,0.8926395686
0303260000,2010,0
0303290110,1220,0
0303290110,2010,0
0303290150,1220,0
0303290150,2010,0
0303310010,1220,0.7101524939
0303310010,2010,0
0303310020,1220,0.7735837945
0303310020,2010,0.2784000938
0303310030,1220,0.7334017093
0303310030,2010,0
0303320000,1220,0
0303320000,2010,0
0303330000,1220,1
0303330000,2010,0
0303340000,1220,0
0303340000,2010,0
0303390110,1220,1
0303390110,2010,1
0303390120,1220,0
0303390120,2010,0
0303390130,1220,0
0303390130,2010,0
0303390195,1220,1
0303390195,2010,1
0303410000,1220,0.5235027652
0303410000,2010,0
0303420020,1220,0
0303420020,2010,0.5359594405
0303420040,1220,0
0303420040,2010,0
0303420060,1220,0
0303420060,2010,0.5041444097
0303430000,1220,0
0303430000,2010,0
0303440000,1220,0
0303440000,2010,0
0303450110,1220,0
0303450110,2010,0
0303450150,1220,0
0303450150,2010,0
0303460000,1220,0
0303460000,2010,0
0303490200,1220,0
0303490200,2010,0
0303510000,1220,0.5112024974
0303510000,2010,0
0303530000,1220,0
0303530000,2010,1
0303540000,1220,0
0303540000,2010,0.2885028792
0303550000,1220,0
0303550000,2010,0.6644580978
0303560000,1220,0
0303560000,2010,0
0303570010,1220,0
0303570010,2010,0
0303570090,1220,0
0303570090,2010,0
0303590000,1220,1
0303590000,2010,0.524734044
0303630010,1220,0.8832697641
0303630010,2010,0
0303630090,1220,0.779980679
0303630090,2010,0
0303640000,1220,0.2641685195
0303640000,2010,0
0303650000,1220,0.3658042887
0303650000,2010,0
0303660000,1220,0
0303660000,2010,0.5313453015
0303670000,1220,0.1919048959
0303670000,2010,0
0303680000,1220,0
0303680000,2010,0
0303690000,1220,0.8923040665
0303690000,2010,0.4345721001
0303740000,1220,0
0303740000,2010,0
0303810011,1220,0
0303810011,2010,0
0303810091,1220,0
0303810091,2010,1
0303820000,1220,0
0303820000,2010,0
0303830000,1220,0
0303830000,2010,0
0303840000,1220,0.3076851334
0303840000,2010,0.8707602447
0303890001,1220,0.8189090268
0303890001,2010,0
0303890004,1220,0.4927080481
0303890004,2010,0
0303890010,1220,0
0303890010,2010,0
0303890013,1220,0
0303890013,2010,0
0303890028,1220,0.6716222604
0303890028,2010,0
0303890031,1220,0.2735806248
0303890031,2010,0
0303890034,1220,0
0303890034,2010,0
0303890037,1220,0.3463275913
0303890037,2010,0
0303890040,1220,0
0303890040,2010,0
0303890043,1220,0.3854651826
0303890043,2010,0.04820489247
0303890046,1220,0
0303890046,2010,0
0303890049,1220,0
0303890049,2010,0
0303890052,1220,0
0303890052,2010,0
0303890055,1220,0
0303890055,2010,0.2409078813
0303890058,1220,0.9399561958
0303890058,2010,0
0303890061,1220,0.4225261704
0303890061,2010,0
0303890064,1220,0.1745614216
0303890064,2010,0
0303890067,1220,0
0303890067,2010,0.6126243816
0303890070,1220,0
0303890070,2010,0.5053751467
0303890080,1220,0.417410014
0303890080,2010,0.4909825597
0303912000,1220,1
0303912000,2010,0
0303914020,1220,0
0303914020,2010,0
0303914040,1220,0.5968576236
0303914040,2010,0
0303914050,1220,0
0303914050,2010,0
0303914060,1220,0
0303914060,2010,0
0303914095,1220,0.6870448878
0303914095,2010,0
0303920000,1220,0
0303920000,2010,0
0303990000,1220,0.7814060245
0303990000,2010,0.7926638755
0304310000,1220,0
0304310000,2010,0.2425420427
0304320010,1220,0
0304320010,2010,0
0304320020,1220,0
0304320020,2010,0
0304320090,1220,0
0304320090,2010,0
0304330000,1220,0.7229859385
0304330000,2010,0
0304390000,1220,0.8869233033
0304390000,2010,0
0304410010,1220,0.5117169303
0304410010,2010,0
0304410020,1220,0
0304410020,2010,0
0304410090,1220,0.4722958455
0304410090,2010,0
0304420000,1220,0.559873351
0304420000,2010,1
0304430010,1220,0.3266780852
0304430010,2010,0
0304430015,1220,0
0304430015,2010,0
0304430020,1220,0.4627302608
0304430020,2010,0
0304430025,1220,0.2749111158
0304430025,2010,0
0304430090,1220,0.5781026848
0304430090,2010,0
0304440010,1220,0.8732806524
0304440010,2010,0
0304440015,1220,0.8191550884
0304440015,2010,0
0304440020,1220,0.5743196308
0304440020,2010,0
0304440025,1220,0.3276768277
0304440025,2010,0
0304440030,1220,0
0304440030,2010,0
0304440090,1220,0
0304440090,2010,0
0304450000,1220,0
0304450000,2010,0
0304460000,1220,0
0304460000,2010,0
0304470000,1220,0
0304470000,2010,0
0304480000,1220,0
0304480000,2010,0
0304490103,1220,0
0304490103,2010,0
0304490106,1220,0.4354321464
0304490106,2010,0
0304490109,1220,0.4719572103
0304490109,2010,0
0304490112,1220,0
0304490112,2010,0
0304490115,1220,0.5203728786
0304490115,2010,0
0304490120,1220,0.4431666327
0304490120,2010,0
0304490125,1220,0
0304490125,2010,0
0304490190,1220,0.5194626964
0304490190,2010,0.5190585513
0304510110,1220,0
0304510110,2010,0
0304510115,1220,0
0304510115,2010,0
0304510120,1220,0
0304510120,2010,0
0304510125,1220,0
0304510125,2010,0
0304510190,1220,0
0304510190,2010,0
0304520010,1220,0.6074068672
0304520010,2010,0
0304520015,1220,0
0304520015,2010,0
0304520020,1220,0
0304520020,2010,0
0304520090,1220,0.2332990902
0304520090,2010,0
0304530010,1220,0
0304530010,2010,0
0304530015,1220,0
0304530015,2010,0
