State Imports by NAICS Commodities,,,,
Current date: 05/12/2025 2:56 PM (Eastern Daylight Time),,,,
Measures: Customs Value (Gen) ($US),,,,
State,Commodity,Country,Time,Customs Value (Gen) ($US)
Alabama,"3131 Fibers, Yarns & Threads",Turkey,2024,"3,105,131"
Alabama,"3131 Fibers, Yarns & Threads",United Kingdom,2024,"12,073"
Alabama,"3131 Fibers, Yarns & Threads",Vietnam,2024,"438,060"
Alabama,3132 Fabrics,Australia,2024,"5,867"
Alabama,3132 Fabrics,Austria,2024,"881,658"
Alabama,3132 Fabrics,Belgium,2024,"132,677"
Alabama,3132 Fabrics,Brazil,2024,"392,261"
Alabama,3132 Fabrics,Cambodia,2024,"236,312"
Alabama,3132 Fabrics,Canada,2024,"3,230,373"
Alabama,3132 Fabrics,China,2024,"11,052,623"
Alabama,3132 Fabrics,Colombia,2024,"368,779"
Alabama,3132 Fabrics,Costa Rica,2024,"4,134"
Alabama,3132 Fabrics,Czech Republic,2024,"141,973"
Alabama,3132 Fabrics,Finland,2024,"2,282,417"
Alabama,3132 Fabrics,France,2024,"2,168,057"
Alabama,3132 Fabrics,Germany,2024,"4,254,930"
Alabama,3132 Fabrics,Honduras,2024,"92,350"
Alabama,3132 Fabrics,Hong Kong,2024,318
Alabama,3132 Fabrics,Hungary,2024,"181,428"
Alabama,3132 Fabrics,India,2024,"3,446,682"
Alabama,3132 Fabrics,Indonesia,2024,"164,239"
Alabama,3132 Fabrics,Iraq,2024,"7,000"
Alabama,3132 Fabrics,Israel,2024,"318,902"
Alabama,3132 Fabrics,Italy,2024,"605,916"
Alabama,3132 Fabrics,Japan,2024,"411,701"
Alabama,3132 Fabrics,"Korea, South",2024,"15,010,609"
Alabama,3132 Fabrics,Latvia,2024,408
Alabama,3132 Fabrics,Lithuania,2024,"27,050"
Alabama,3132 Fabrics,Luxembourg,2024,587
Alabama,3132 Fabrics,Malaysia,2024,"4,957"
Alabama,3132 Fabrics,Mexico,2024,"12,849,339"
Alabama,3132 Fabrics,Nepal,2024,484
